text,label
It turned Blue colour forms indicating starch presence.,milk-4
We noticed turns red in the sample,cereal-6
"After the test, dark residue",spice-1
It turned black residue,spice-12
It turned black on hands,spice-12
Observation: white solution,spice-9
"Observation: Flat, edged, blackish-brown dhatura seeds visible among grains.",cereal-2
We noticed Milk stays or flows slowly leaving a white trail. in the sample,milk-1
The food sample shows floats,spice-10
It turned Magnet picks up nothing from tea leaves.,bev-4
"After the test, red colour",oil-2
The result indicates Milk stays or flows slowly leaving a white trail.,milk-1
Observation: sediment,sweet-2
We noticed No blue colour formation. in the sample,spice-8
The sample shows does not dissolve,spice-1
The food sample shows Saw dust or powdered bran floats on water surface.,spice-16
There is floating cloves after testing,spice-10
Observation: Water becomes coloured immediately.,cereal-5
"The result indicates Uniform-shaped dal seeds, no edged/square irregular shapes.",cereal-4
"After the test, attracted to magnet",bev-4
It turned doesn't powder,sweet-3
It looks like cotton turns green,veg-3
"After the test, blue colour",milk-3
"After the test, No blue colour — indicates common salt being sold as iodised.",veg-1
We noticed chalky deposit in the sample,sweet-2
The result indicates No red colour formation.,oil-2
Observation: cotton absorbs colour,veg-5
The result indicates Some berries float in alcohol — these are light black berries.,spice-6
The sample shows white residue,spice-9
It looks like No blue colour formation.,spice-8
Observation: immediate stain,bev-3
It turned impurities,cereal-1
"After the test, color bleeding",spice-5
I observed blue colour in the food,spice-8
"We noticed Visible presence of dust, pebbles, stones, weed seeds, insects or rodent matter. in the sample",cereal-1
There is Crumbles to powder on crushing. Burns to glistening balls. after testing,sweet-3
I observed flat seeds in the food,cereal-2
It turned Cotton does not absorb any colour.,cereal-7
There is strong yellow after testing,spice-15
It looks like Berries do not break easily when pressed.,spice-3
We noticed disperses in the sample,sweet-1
It looks like dark residue,spice-1
It looks like rough seeds,spice-13
We noticed white residue in the sample,sweet-2
It looks like powder sinks,bev-2
There is sediment after testing,spice-4
"It turned Oil remains brilliant, clear and limpid after 5.5 hours in ice.",oil-3
We noticed does not burn in the sample,sweet-1
"After the test, bran floating",cereal-3
It looks like Chilli powder settles at bottom; no floating material.,spice-7
It looks like Saw dust or powdered bran floats on water surface.,spice-16
The food sample shows dissolves,sweet-1
The result indicates colour transfer,veg-5
I observed foreign beans in the food,cereal-8
The result indicates water turns green,veg-4
The sample shows colour in water,cereal-5
The food sample shows colour on cotton,cereal-7
"After the test, red colour",oil-2
"After the test, A liquid layer of other oils remains separate on top or bottom.",oil-1
"There is Clean, uniform flour with no visible impurities. after testing",cereal-9
I observed A liquid layer of other oils remains separate on top or bottom. in the food,oil-1
"There is Visible presence of dust, pebbles, stones, weed seeds, insects or rodent matter. after testing",cereal-1
"After the test, Water remains clear — no colour released.",cereal-5
The food sample shows residue at bottom,bev-1
We noticed pebbles in the sample,cereal-1
The food sample shows Colour streaks descend immediately through the water.,spice-5
The result indicates Chakunda beans visible — identifiable by distinct shape and colour.,cereal-8
The result indicates No blue colour; iodine remains yellow-brown.,milk-4
"After the test, Palms remain clean — no black colour transfer.",spice-12
The result indicates sinks,bev-2
I observed lumps in the food,cereal-9
The result indicates thick foam,milk-2
The sample shows Does not burn brightly. Sediment settles at bottom when dissolved in water.,spice-1
Observation: cloudy,spice-9
It turned rough seeds,spice-13
The result indicates Excess bran particles float on the water surface.,cereal-3
I observed dust floating in the food,spice-7
I observed remains white in the food,veg-1
"After the test, dark residue",spice-1
The food sample shows No colour change (remains yellow/brown of iodine).,milk-3
The food sample shows No clay particles at the bottom after 5 minutes.,bev-1
The sample shows settles,sweet-2
Observation: hazy,oil-3
The result indicates bright yellow water,spice-14
The sample shows does not crumble,sweet-3
I observed turns blue in the food,milk-3
The food sample shows remains white,veg-1
The result indicates colour on cotton,cereal-7
It looks like All pepper sinks in alcohol.,spice-6
The sample shows No clay particles at the bottom after 5 minutes.,bev-1
It turned Cotton does not absorb any colour.,veg-5
It looks like cloves on surface,spice-10
There is oval seeds after testing,spice-2
It turned dense lather,milk-2
There is red colour after testing,cereal-6
The food sample shows dye released,cereal-5
It looks like Bright yellow colour immediately leaches into water.,spice-14
I observed blue color in the food,milk-4
The result indicates grainy surface,spice-13
It looks like Cloves sink to the bottom.,spice-10
Observation: strong yellow,spice-15
It turned A liquid layer of other oils remains separate on top or bottom.,oil-1
I observed Some seeds with rough/grainy black surface that show white inside when pressed. in the food,spice-13
The result indicates soft berries,spice-3
It turned particles settle,bev-1
It turned earthy matter,spice-4
I observed dark seeds in the food,cereal-2
The result indicates green dye transfer,veg-3
Observation: different shape seeds,cereal-4
We noticed red on cotton in the sample,veg-5
The food sample shows instant colour,veg-2
Observation: red on cotton,veg-5
"After the test, flows fast",milk-1
There is iodine blue after testing,milk-3
It turned grainy surface,spice-13
It looks like Saw dust particles float on water surface.,spice-7
The result indicates Honey settles at bottom without dispersing. Burns cleanly when lit.,sweet-1
It looks like Immediate staining of filter paper. Colour streaks on filter paper. Red/orange colour on lime.,bev-3
It turned disperses,sweet-1
It turned no colour change,veg-1
It looks like colour streaks,spice-5
The food sample shows Honey disperses in water. Does not burn or produces cracking sound.,sweet-1
I observed floating particles in the food,spice-7
It looks like Coffee powder floats on water.,bev-2
We noticed intense yellow in the sample,spice-15
It turned red colour,cereal-6
Observation: does not burn,sweet-1
It looks like green on cotton,veg-3
The sample shows dirty,cereal-9
I observed blue colour in the food,milk-4
We noticed colour streaks in the sample,spice-5
The food sample shows foam formed,milk-2
Observation: powder sinks,bev-2
